Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
dupliquer;doppeln;8;2012-12-26T11:18:41;14;7;
la fete d´anniversaire;die Geburstagsfeier;1;2013-01-08T21:39:50;0;1;
un escargot;die Schnecke;3;2013-01-08T21:29:54;0;2;
le virement;die Überweisung;5;2013-01-08T21:29:33;0;5;
l'annonce, la nouvelle;die meldung;5;2013-01-08T21:29:48;0;5;
etre embarassé par quelqu'un;für jemanden unangenehm sein;6;2013-01-02T18:19:12;7;1;
etroit;schmal;8;2012-12-25T13:10:28;15;6;
sale;dreckig;4;2013-01-08T22:01:00;0;3;
l'averse;der Regenschauer;5;2013-01-08T21:38:41;0;5;
l'intention;die Absicht;6;2013-01-06T21:58:51;2;6;
la balance commerciale est négative;Die Handelsbilanz ist negativ;4;2013-01-08T21:35:40;0;3;
la température;die Temperatur;7;2012-12-31T15:18:04;9;4;
la consigne;der Einsatz;8;2013-01-04T16:10:38;5;16;
un volume, un tome;der Band;8;2012-12-22T12:22:04;18;3;
par exemple;zum Beispiel;9;2013-01-09T20:00:41;0;34;
l'adieux;der Abschied;8;2012-12-25T13:20:59;15;6;
la vie quotidienne;der Alltag;3;2013-01-09T20:01:03;0;2;
l´affichage;die Anzeige;3;2013-01-08T21:30:01;0;2;
Il faut se tenir à quelques mètres de distance de cet appareil;Man muss sich einige Meter entfernt von diesem Apparat halten;6;2013-01-01T20:45:26;7;1;
une plante en pot;die Topfplanze;3;2013-01-08T00:36:02;1;1;
pueril;kindisch;8;2013-01-09T19:40:33;0;21;
le climat;das Klima;9;2013-01-03T00:21:06;6;28;
delicat;zierlich;7;2012-12-31T15:18:12;9;4;
autorisé;erlaubt;9;2013-01-03T00:20:36;6;28;
la provision;die Deckung;8;2013-01-05T17:21:18;4;17;
Il a tendance a oublier ses erreurs;Er neigt dazu, seine Fehler zu vergessen;1;2013-01-08T22:04:23;0;1;
la majorité;die mehrheit;8;2013-01-04T16:21:42;5;16;
faire le marche à pied;wandern;6;2013-01-09T19:57:49;0;8;
le mur;die Wand;7;2012-12-31T15:17:30;9;4;
il me rendit attentif a ce probleme;er machte mich auf dieses problem aufmerksam;2;2013-01-08T21:35:04;0;1;
Ne fais pas de connerie;Mach keinen Mist;8;2012-12-25T13:18:02;15;6;
le canon;der kanon;8;2012-12-25T13:06:41;15;6;
la liberté d'expression;die freie meinungsbildung;1;2013-01-08T21:38:36;0;1;
Elle m'a prêté sa voiture mais elle a oublié de me donner les clés;Sie hat mir ihr Auto ausgeliehen, wobei sie vergessen hat, mir den Schlüssel zu geben;4;2013-01-08T21:39:39;0;3;
de façon claire et nette;klar und deutlich;5;2013-01-09T19:59:00;0;5;
enceinte;schwanger;7;2012-12-31T15:16:01;9;4;
Le tableaux le plus ancien et le plus interessant de Dürer est à voir à Nuremberg;Das älteste und interessanteste Gemäld von Dürer ist in Nürenberg zu sehen;7;2013-01-04T16:20:39;5;8;
quelles que soient les circonstances;unter allen Umständen;3;2013-01-08T21:39:08;0;2;
la gymnastique;das Turnen;7;2013-01-04T16:21:37;5;8;
Le jeune député fut nommé Ministre;Der junge Abgeordnete wurde zum Minister ernannt;1;2013-01-08T22:02:02;0;1;
la voile;das Segel;7;2013-01-01T20:14:54;8;5;
accroitre;steigern;6;2013-01-06T21:57:33;2;6;
toucher;anfassen;6;2013-01-02T17:00:28;7;1;
le réchauffement climatique;die Erwärmung;8;2013-01-09T19:58:48;0;21;
la performance, le rendement;die Leistung;9;2013-01-09T19:54:43;0;34;
ici nous sommes a l'abri des voleurs;hier sind wir vor dieben sicher;5;2013-01-08T21:38:25;0;5;
article XV de la constitution;Paragraph XV der Verfassung;7;2013-01-04T16:21:17;5;8;
s'associé à quelque chose;mit etwas gepaart sein;7;2013-01-08T21:38:53;0;13;
c'est mieux;das ist besser;8;2013-01-04T16:21:28;5;16;
le Gemissement;das Gestöhne;8;2013-01-09T20:05:10;0;21;
etre en suspens;anstehen;7;2013-01-01T20:45:00;7;6;
pourquoi es tu faché contre moi?;warum bist du böse auf mich?;5;2013-01-08T21:31:38;0;5;
la terminaison;die Endung;8;2013-01-04T16:15:54;5;16;
la conversation;die Unterhaltung;7;2013-01-04T16:21:24;5;8;
elle ne sait pas comment se debarrasser de lui;sie weiß nicht, wie Sie ihn loswerden soll;6;2013-01-09T19:57:45;0;8;
persister dans son opinion;unbeirrt an seiner Meinung festhalten;3;2013-01-08T22:01:13;0;2;
l'haleine, le soufle;der Hauch;8;2013-01-04T16:21:46;5;16;
recevoir, obtenir;bekommen;9;2013-01-08T21:39:42;0;34;
la production;die Herstellung;8;2013-01-05T17:18:51;4;17;
l'application Windows;die Windows-Anwendung;5;2013-01-08T17:44:20;1;4;
ta gueule;halt die Klappe;9;2013-01-08T21:35:26;0;34;
une montagne;das Gebirge;4;2013-01-08T21:37:00;0;3;
la recrue;der Neuzugang;6;2013-01-09T19:57:54;0;8;
cité, invoqué;angeführt;5;2013-01-06T22:56:59;2;3;
le fait d etre amoureux;die Verliebtheit;7;2012-12-31T15:22:43;9;4;
établir;aufstellen;7;2012-12-31T15:22:57;9;4;
grandiloquant;hochtrabend;8;2012-12-25T13:21:20;15;6;
ce n'est pas la mer à boire (etre pas grave);das ist gar nicht so schlimm;4;2013-01-08T21:37:11;0;3;
aller à toute allure;Rasen;5;2013-01-08T21:35:29;0;5;
il est pret a tout;er ist zu allem bereit;5;2013-01-08T22:02:43;0;5;
les energies renouvelables;die erneuerbaren Energien;4;2013-01-08T22:00:57;0;3;
Je passerai vous prendre vers huit heures;Ich komme gegen 8 Uhr vorbei, um Sie abzuholen;6;2013-01-09T19:58:28;0;8;
le chaufage;Die Beheizung;6;2013-01-01T20:53:49;7;1;
la determination;die Zielstrebigkeit;5;2013-01-05T17:58:40;4;1;
le son;der Schall;6;2013-01-01T20:37:22;7;1;
valoir le coup;sich lohnen;8;2012-12-25T13:21:42;15;6;
en resumé;insgesamt;8;2012-12-25T13:27:17;15;6;
bete, idiot;blödsinnig;8;2013-01-08T21:57:28;0;21;
faire un reportage sur;berichten über;5;2013-01-08T21:57:20;0;5;
ne pas avoir froid aux yeux;frech sein;5;2013-01-08T21:40:15;0;5;
enchanter, impressioner;begeistern;7;2012-12-31T15:23:05;9;4;
Il les embrasse;Er umarmt sie;1;2013-01-08T22:10:08;0;1;
De plus en plus de sociétés privilégient les demandes d'emploi par Internet;Immer mehr Firmen ziehen Online-Bewerbungen vor;6;2013-01-05T17:22:41;4;4;
sauter une classe;übersprungen;8;2012-12-26T11:19:15;14;7;
observer;beobachten;8;2012-12-25T13:31:37;15;6;
la propriété;das Anwesen;3;2013-01-08T21:57:14;0;2;
Il fait partie de nos amis;Er gehört zu unseren Freunden;1;2013-01-08T22:06:29;0;1;
je n'y arrive pas;Ich komme nicht dazu;7;2013-01-04T16:29:08;5;8;
sec;trocken;9;2013-01-08T21:32:17;0;34;
Nous avons regarder la telé hier soir;Wir haben gestern abend ferngesehen;7;2012-12-31T15:26:13;9;4;
On lui a pris tous ses bijoux;Man hat ihr ihren ganzen Schmuck weggenommen;1;2013-01-08T23:54:43;0;1;
Un stylo sert à ecrire;Ein Füller dient zum Schreiben;1;2013-01-08T21:58:35;0;1;
le besoin;der Bedarf;8;2012-12-25T13:27:40;15;6;
conscient;bewußt;4;2013-01-08T22:01:42;0;3;
influence, emprise;Einfluss;7;2013-01-09T19:55:23;0;13;
la retraite;der ruhestand;8;2013-01-05T17:22:15;4;17;
glühend;ardemment;8;2012-12-31T15:38:44;9;12;
probable;vermutlich;7;2012-12-31T15:26:17;9;4;
Roman court aussi vie que son frere;Roman läuft so schnell wie sein Brüder;8;2013-01-04T16:24:55;5;16;
l'intelligent;der Kluge;8;2013-01-08T22:01:37;0;21;
remettre, rendre (vomir);übergeben;7;2013-01-04T16:29:46;5;8;
le crochet;der Hacken;6;2013-01-02T18:20:28;7;1;
singulier, marrant;eigenartig;4;2013-01-09T20:05:51;0;3;
pleurer;weinen;8;2013-01-05T17:21:58;4;17;
On y vas;Los;8;2013-01-09T20:02:53;0;21;
le clou;der Nagel;8;2013-01-04T16:36:03;5;16;
Je connais Tübingen comme ma poche: j'y ai habité tois ans;Ich kenne mich in Tübingen aus: ich habe dort drei Jahre gewohnt;7;2013-01-08T22:00:05;0;13;
il lit le journal de A a Z;er liest die zeitung ausführlich;7;2013-01-08T22:01:27;0;13;
la pluie;der Regen;9;2013-01-03T00:21:14;6;28;
le milieu de terrain;der Mittelfeldspieler;8;2013-01-09T20:02:06;0;21;
Je suis contre l'energie nucleaire pour different raison;ich bin aus verschiedenen Gründen gegen Atomenergie;5;2013-01-08T22:07:01;0;5;
responsabiliser quelqu'un;jemandem seine Verantwortung bewußt machen;1;2013-01-08T23:56:20;0;1;
la position, l´emplacement, le site;der Standort;8;2013-01-09T20:19:12;0;21;
rendre visite a quelqu'un;bei jemandem vorbeischauen;6;2013-01-05T17:25:06;4;4;
der Beschluss;la decision;6;2013-01-09T20:01:42;0;8;
le butin;die beute;4;2013-01-08T22:10:01;0;3;
j'aimerais bien participer à cette fete;ich möchte gern an dieser party teilnehmen;5;2013-01-09T20:03:39;0;5;
inutile;nutzlos;9;2013-01-09T20:02:58;0;34;
ponctuelle;pünktlich;8;2013-01-09T20:19:06;0;21;
la zone d'extraction;das fördergebiet;5;2013-01-08T22:03:57;0;5;
le retard;die Verspätung;8;2013-01-04T16:24:41;5;16;
le lolo;der Busen;6;2013-01-09T20:02:45;0;8;
la colere;die Wut;6;2013-01-05T17:25:25;4;4;
on le reconnait bien à sa voix;man erkennt ihn gut an der Stimme;1;2013-01-08T22:15:00;0;1;
une critique partielle;die Einzelkritik;5;2013-01-05T17:59:07;4;1;
l´inverse;das Gegenteil;8;2012-12-31T15:41:53;9;12;
se rendre compte, remarquer, retenir;merken;8;2012-12-31T15:42:49;9;12;
en principe, fondamentalement;Grundsätzlich;5;2013-01-06T22:57:19;2;3;
gelé;eingefroren;8;2012-12-31T15:40:00;9;12;
le stylo;der Füller;8;2013-01-08T22:05:15;0;21;
Il était temps que chacun aille se coucher;Es war Zeit, dass jeder zu Bett ging;5;2013-01-08T22:05:31;0;5;
fondé;gegründet;7;2012-12-31T15:39:53;9;4;
l'apparence;das Aussehen;7;2013-01-01T21:00:28;7;6;
il a toujours été trés gentil avec moi;er war immer sehr nett zu mir;1;2013-01-08T22:13:33;0;1;
regulierement;regelmäßig;8;2012-12-22T12:47:20;18;3;
J'ai collé le timbre sur l'enveloppe;Ich klebte die Briefmarke auf den Umschlag;1;2013-01-08T22:10:43;0;1;
des broches;die Broschen;8;2012-12-25T13:36:04;15;6;
les membres (club);die Mitglieder;8;2012-12-25T13:36:22;15;6;
Je n'y peux rien;Ich kann nicht dafür;6;2013-01-05T17:32:16;4;4;
l'effet de serre;der Treibhauseffekt;5;2013-01-05T18:02:05;4;1;
l´affaire, la chose, l´enjeu;die Sache;7;2012-12-31T15:40:04;9;4;
Il doit faire un effort plus important;Er muss sich mehr anstrengen;5;2013-01-08T22:04:40;0;5;
timide, farouche;schüchtern;8;2012-12-25T17:55:26;15;6;
le comportement;das Verhalten;8;2012-12-22T12:49:43;18;3;
suposer;vermuten;8;2013-01-04T15:57:14;5;16;
se contracter, se crisper;anspannen;8;2013-01-03T22:31:59;5;16;
le feed-back;die rückmeldung;8;2013-01-04T16:36:09;5;16;
la sottise, la bettise;der Quatsch;9;2013-01-08T22:04:46;0;34;
le domaine, la region;das Gebiet;7;2013-01-04T16:25:07;5;8;
la lingerie;die Unterwäsche;5;2013-01-08T22:09:49;0;5;
l'entreprise;das Unternehmen;8;2012-12-25T13:35:08;15;6;
la musculation;das Krafttraining;1;2013-01-08T22:10:56;0;1;
On ne devrait pas s'en remettre au hasard;Man sollte die Dinge nicht dem Zufall überlassen;1;2013-01-08T22:14:18;0;1;
Vous voyez la bas la plus jeune de nos deux filles;Dort sehen Sie die jüngere unserer beiden Töchter;7;2013-01-04T16:28:52;5;8;
il apprend a lire aux enfants;er lehrt die kinder lesen;1;2013-01-09T00:05:36;0;1;
faire des messes basse;tuscheln;6;2013-01-09T20:03:43;0;8;
commuter;umschalten;8;2012-12-25T17:35:51;15;6;
ne te moque pas de moi;lach mich nicht aus;5;2013-01-08T22:13:41;0;5;
se reposer (récupérer ses forces);sich ausruhen;8;2012-12-25T17:35:47;15;6;
restant;verbleibend;5;2013-01-05T17:59:50;4;1;
se promener;spazierengehen;7;2013-01-08T22:10:14;0;13;
auf etwas verzichten;abandonner quelque chose;7;2013-01-04T16:24:19;5;8;
regretter;bedauern;1;2013-01-08T23:55:53;0;1;
le permis de conduire;der Führerschein;5;2013-01-05T18:02:49;4;1;
superieur;überragend;4;2013-01-08T22:10:26;0;3;
dissimulateur;heuchlerisch;7;2013-01-04T16:25:34;5;8;
efficace;effizient;8;2012-12-31T15:48:54;9;12;
etre de bonne foi;aufrichtig sein;9;2013-01-09T20:02:51;0;34;
resoudre;auflösen;8;2012-12-26T11:18:38;14;7;
la taille, la grandeur;die größe;5;2013-01-06T22:58:15;2;3;
la cotisation;der Beitrag;7;2012-12-31T15:44:48;9;4;
cesser, achever;aufhören;8;2013-01-08T22:11:02;0;21;
le moyen de transport;das Verkehrsmittel;6;2013-01-09T18:58:09;0;8;
il est rouge de honte;er ist rot vor Scham;1;2013-01-09T00:07:10;0;1;
J'avais des relations tendues avec lui;Ich stand in gespanntem Verhältnis zu ihm;4;2013-01-09T20:04:10;0;3;
favorable a l'environement;Umweltfreundlich;8;2013-01-04T16:28:11;5;16;
la demoiselle;das Fräulein;9;2013-01-09T20:02:11;0;34;
papoter;schwätzen;7;2012-12-31T15:44:30;9;4;
un agent d'affaires, un médiateur;der Vermittler;4;2013-01-08T22:10:22;0;3;
mercredi;mittwoch;4;2013-01-08T22:10:18;0;3;
arnaquer;abzocken;8;2013-01-03T22:35:13;5;16;
L'homme était en mauvaise forme;Der Mann war in schlechter Verfassung;5;2013-01-08T22:14:43;0;5;
se confier;sich anvertrauen;8;2012-12-25T17:58:28;15;6;
éclairer;leuchten;5;2013-01-09T20:01:47;0;5;
une blouse;die Bluse;9;2013-01-03T00:20:57;6;28;
le bistro;die Kneipe;7;2013-01-01T20:59:19;7;6;
examiner;prüfen;6;2013-01-01T20:57:47;7;1;
il m'a adressé la parole dans la rue;er hat mich auf der Straße angeredet;4;2013-01-09T19:35:06;0;3;
On est parvenu à un accord sur les règles de concurrence sur le marché allemand de l'énergie;Man hat eine Einigung über Wettbewerbsregeln für den deutschen Energiemarkt erzielt;3;2013-01-08T22:12:24;0;2;
Ma mémoire n'a pas failli.;Mein Gedächtnis hat mich nicht im Stich gelassen;6;2013-01-09T20:02:31;0;8;
tendre, contracter;spannen;9;2013-01-09T20:16:10;0;34;
le manque de provision;die fehlende Deckung;5;2013-01-06T22:57:46;2;3;
faux cu;hinterhältig;2;2013-01-08T22:11:08;0;1;
le remplacement;das Auswechseln;5;2013-01-06T22:57:10;2;3;
mouillé;nass;1;2013-01-08T22:10:47;0;1;
triple;dreifach;8;2012-12-27T15:36:54;13;8;
Elle descend l'escalier en courant;Sie läuft die treppe hinab;6;2013-01-03T00:00:25;6;2;
trop facile  (familier);pupen einfach;8;2013-01-05T17:59:35;4;17;
tenir bon;durchhalten;1;2013-01-09T20:13:35;0;1;
par coeur;auswendig;8;2013-01-04T16:28:04;5;16;
l´ accident;der Unfall;5;2013-01-08T23:55:57;0;5;
sowie;ainsi que;3;2013-01-08T23:56:03;0;2;
dépendant;abhängig;7;2013-01-04T16:27:57;5;8;
desservir;schlechten;8;2013-01-04T16:48:26;5;16;
des trois hommes c'est manfred qui cuisine le mieux;Von diesen drei Männern kocht Manfred am besten;8;2013-01-08T22:15:57;0;21;
le certificat;das zeugnis;6;2013-01-09T20:14:25;0;8;
court-circuiter;überbrücken;8;2013-01-04T16:31:45;5;16;
le motif;der Anlass;6;2013-01-02T23:58:03;6;2;
le pouce;der Daumen;6;2013-01-01T21:09:10;7;1;
congedier, debaucher;entlassen;8;2013-01-09T20:13:06;0;21;
Je voudrais d'abord préciser un point : L'Allemagne ne recherche pas de position hégémonique en Europe;Ich möchte zunächst klar machen, dass Deutschland keine Vormachtstellung in Europa anstrebt;1;2013-01-09T00:04:36;0;1;
photographier quelqu'un;jemanden ablichten;1;2013-01-09T00:06:15;0;1;
Les dés sont jetés;Das Würfel sind gefallen;7;2012-12-31T15:54:04;9;4;
faire signe a qq;sich winken herbei;8;2012-12-25T18:04:08;15;6;
amener qn;mitbringen;6;2013-01-05T17:40:13;4;4;
rimer;sich reimen;7;2013-01-04T16:52:16;5;8;
tu ne peux pas manger un si gros morceau de viande;Du kannst ein so großes Stück Fleisch doch nicht essen;2;2013-01-08T23:55:47;0;1;
apres de longue années, il est mort de cette maladie;nach langen jahren ist er an dieser krankheit gestorben;1;2013-01-09T00:03:36;0;1;
les enfants, la releve;der Nachwuchs;7;2013-01-04T16:51:54;5;8;
la brume;der Nebel;9;2013-01-03T00:21:11;6;28;
le petit-fils;das Enkelkind;6;2013-01-02T23:58:34;6;2;
le salaud;der Dreckskerl;8;2012-12-25T18:11:47;15;6;
appreciable;beachtlich;5;2013-01-05T17:59:16;4;1;
Une fois qu'il était parti, j'ai découvert qu'il avait oublié ses clés;Als er weg war, habe ich bemerkt, dass er seine Schlüssel vergessen hatte;1;2013-01-09T00:05:23;0;1;
la responsabilité;die Verantwortung;8;2013-01-04T16:33:45;5;16;
la repulsion;die abneigung;8;2013-01-04T16:32:52;5;16;
chez soi;daheim;8;2012-12-25T18:09:26;15;6;
à coté;neben;9;2013-01-09T20:14:09;0;34;
dépasser;überholen;8;2012-12-25T18:11:55;15;6;
ne pas prendre quelqu'un au sérieux;jemanden nicht für voll nehmen;9;2013-01-09T20:13:53;0;34;
le reproche;der Vorwurf;3;2013-01-08T23:58:17;0;2;
Rechercher et Developpement;Forschung und Entwicklung;9;2013-01-09T19:58:38;0;34;
le changement de place;die Versetzung;1;2013-01-09T00:00:52;0;1;
Ce jeune chercheur est surement destiné à une brillante carrière;dieser junge forscher ist sicher zu einer glänzenden Laufbahn bestimmt;1;2013-01-09T00:20:05;0;1;
le dessert;der Nachtisch;5;2013-01-05T17:58:56;4;1;
le coloriage;das Ausmalen;6;2013-01-05T17:40:48;4;4;
effrayant;gruselig;4;2013-01-08T22:15:32;0;3;
il nous a gaché l'ambiance;Er hat uns die Stimmung verdorben;4;2013-01-08T22:15:28;0;3;
Definitely;Durchaus;8;2013-01-04T16:36:28;5;16;
Je suis inquiet pour sa santé;Ich bin um seine Gesundheit besorgt;3;2013-01-08T23:58:13;0;2;
le papillon;der Schmetterling;6;2013-01-01T21:08:30;7;1;
l'auteur, le createur;der Schöpfer;5;2013-01-09T20:16:04;0;5;
le choix;die Auswahl;8;2012-12-25T18:26:05;15;6;
mordiller;an etwas knabbern;5;2013-01-08T22:17:25;0;5;
se faire bichonner;sich verwöhnen lassen;5;2013-01-08T23:59:34;0;5;
personne ne;keiner;9;2013-01-09T19:57:25;0;34;
Je n'y comprends rien;Das ist mir ein Rätsel;6;2013-01-05T17:39:24;4;4;
le trou, l'espace;die lücke;8;2013-01-08T23:59:17;0;21;
l'érosion;die Erosion;8;2013-01-04T16:32:56;5;16;
la vitesse;die Geschwindigkeit;5;2013-01-05T18:07:29;4;1;
comme indique;wie gezeigt;8;2012-12-25T17:30:34;15;6;
le dechet,l'ordure;der Abfall;4;2013-01-08T23:59:27;0;3;
parier;verwetten;4;2013-01-09T00:00:57;0;3;
humide;feucht;9;2013-01-03T00:20:52;6;28;
l'été;der Sommer;9;2013-01-03T00:20:40;6;28;
cesser de faire quelque chose;mit etwas einhalten;6;2013-01-09T20:15:59;0;8;
se foutre de la gueule de qn (fam);jemanden verarschen;1;2013-01-09T00:07:20;0;1;
Ce magazine est plus interessant que celui la;diese Illustrierte ist interessanter als jene;7;2013-01-04T16:53:04;5;8;
assrvir, conduire;steuern;8;2012-12-25T18:24:25;15;6;
Il n'est vraiment pas apte a ce travail;Er taugt wirklich nicht zu dieser Arbeit;1;2013-01-09T00:14:39;0;1;
un entairement;die Beerdigung;9;2013-01-03T00:20:49;6;28;
le departement, la division;die Abteilung;8;2013-01-04T16:32:23;5;16;
l'impot;die Steuer;8;2013-01-09T00:01:02;0;21;
en raison des circonstances;unter Umstände;8;2012-12-25T11:40:46;15;6;
la bougie;die kerze;2;2013-01-08T23:59:22;0;1;
Nous avons beaucoup contribué à ce succès;Wir haben erheblich zu diesem Erfolg beigetragen;1;2013-01-09T00:14:15;0;1;
Nous devons fixer une date;Wir müssen einen Termin vereinbaren;1;2013-01-09T00:23:44;0;1;
menteur;verlogen;5;2013-01-05T18:06:50;4;1;
comprehensible;begreiflich;8;2012-12-25T18:19:59;15;6;
la presentation;die Vorlage;3;2013-01-09T00:04:41;0;2;
baisser le volume;die Lautstärke leiser stellen;6;2013-01-05T17:48:28;4;4;
regarder;blicken;5;2013-01-09T00:02:08;0;5;
cela te coutera beaucoup d'argent;das wird dich viel Geld kosten;5;2013-01-09T00:11:32;0;5;
faire la grasse matinée;ausschlafen;8;2012-12-25T18:26:48;15;6;
se charger de;übernehmen;7;2013-01-04T16:54:05;5;8;
l'excursion, la balade;der Ausflug;8;2012-12-25T18:27:18;15;6;
tuerie en milieu scolaire;der Amoklauf an einer Schule;6;2013-01-09T20:14:21;0;8;
il est habitué a cette vie;er ist an dieses leben gewöhnt;1;2013-01-09T00:14:51;0;1;
Comment juger vous le potentiel de l'Australie, comme adversaire?;Wie stark schätzen Sie Australien ein, als Gegner?;8;2012-12-31T15:58:32;9;12;
lévier de cuisine;die Küchenspüle;7;2013-01-04T16:53:33;5;8;
Ils ont acheté une villa moins chére, que celle qu'ils avaient visitée;Sie haben eine weniger teure Villa gekauft als die, die sie besichtigt hatten;3;2013-01-09T00:12:23;0;2;
la tete de turc;der Buhmann;1;2013-01-09T00:15:26;0;1;
je peux encore avoir besoin de ce livre;dieses buch kann ich noch brauchen;6;2013-01-05T17:47:18;4;4;
ton succès me fait trés plaisir;ich freue mich sehr an deinem erfolg;2;2013-01-09T00:13:07;0;1;
la confiance;das Vertrauen;6;2013-01-09T20:13:25;0;8;
les nuages;die Wolken;9;2013-01-09T20:13:11;0;34;
Ich kann es mir nicht leisten;Je ne peux pas me le permettre;8;2013-01-04T16:33:06;5;16;
un additif;der Nachtrag;9;2013-01-09T20:13:29;0;34;
erschöpfen;epuiser;5;2013-01-09T00:12:47;0;5;
Ça me donne la gerbe;Da bekomme ich das Kotzen;4;2013-01-09T00:08:27;0;3;
etre responsable de quelque chose;für etwas verantwortlich sein;6;2013-01-09T20:16:23;0;8;
de nous tous c'est Andrea qui court le plus vite;von uns allen läuft Andrea am schnellsten;5;2013-01-06T22:58:01;2;3;
peter un cable, disjoncter;ausrasten;5;2013-01-09T20:17:51;0;5;
le truc, le machin;das Ding;8;2013-01-04T16:39:03;5;16;
C'est l'espagne que l'on visite le plus l'ete;Spanien wird im Sommer am meisten besichtigt;5;2013-01-09T00:08:14;0;5;
il souffre depuis des années de rhumatismes;er leidet schon seit jahren an rheuma;4;2013-01-09T00:12:42;0;3;
à cause de moi;Meinetwegen;8;2012-12-31T16:07:18;9;12;
homosexuelle, gay;schwul;5;2013-01-09T20:13:14;0;5;
decourager quelqu'un;jemanden entmutigen;4;2013-01-09T20:02:41;0;3;
sur le vif;hautnah;4;2013-01-09T00:13:11;0;3;
les courants océaniques;die Meeresströmungen;8;2012-12-21T20:08:52;19;2;
insolite, abracadabrant, inhabituel;ungewöhnlich;2;2013-01-09T00:06:23;0;1;
Le monde ne souffre pas d'un manque d'eau, mais pratique une très mauvaise gestion de l'eau;Die Welt leidet nicht unter Wassermangel, sondern betreibt ein sehr schlechtes Wassermanagement;5;2013-01-09T00:07:59;0;5;
le bruit (sonore);das Geräusch;4;2013-01-09T00:06:09;0;3;
se detendre;sich entspannen;8;2013-01-04T16:35:59;5;16;
J'en admire surtout les vitraux (d'une cathedrale);Ich bewundere vor allem ihre Fenster;1;2013-01-09T00:24:51;0;1;
la consomation;der Verbrauch;5;2013-01-05T18:03:18;4;1;
vachement;unheimlich;7;2013-01-04T16:52:12;5;8;
capricieux;launenhaft;4;2013-01-09T00:15:32;0;3;
les arriére petits enfants;die Urenkel;6;2013-01-03T00:02:51;6;2;
ma courbe de motivation a atteint un creux;meine Motivationskurve hat ein Tief erreicht;1;2013-01-09T20:17:22;0;1;
l'adolescent;der Jüngling;6;2013-01-09T20:16:28;0;8;
Qui marque le but?;Wer macht die Tore?;4;2013-01-09T00:16:12;0;3;
avoir la main sur le coeur;sehr großzügig sein;3;2013-01-09T00:19:33;0;2;
artificielle;gekünstelt;5;2013-01-05T18:06:33;4;1;
y'es tu habitué?;Bist du daran gewöhnt?;5;2013-01-09T00:15:42;0;5;
le motif de paiement;der Verwendungszweck;4;2013-01-09T00:19:00;0;3;
la conservation;die Aufbewahrung;1;2013-01-09T00:21:39;0;1;
Qui conclut l'accord ?;Wer traf die Vereinbarung?;4;2013-01-09T00:23:04;0;3;
la ceremonie, la fete;die Veranstaltung;4;2013-01-09T00:15:52;0;3;
etre attaché a quelaue chose;mit etwas zusammenhängen;5;2013-01-09T20:14:04;0;5;
le verglas;das Glatteis;4;2013-01-09T00:15:46;0;3;
la commande, la mission;der Auftrag;8;2012-12-25T18:38:57;15;6;
le Latin;der Romane;8;2012-12-24T13:08:12;16;5;
entreprendre;unternehmen;9;2013-01-09T20:13:19;0;34;
la contradiction;der Widerspruch;5;2013-01-05T18:07:37;4;1;
Il vient de sortir;Er ist gerade weggegangen;5;2013-01-05T18:07:13;4;1;
la note de débit;die lastschrift;1;2013-01-08T21:38:59;0;1;
die Entscheidung;la decision;8;2013-01-05T18:15:11;4;17;
l'exception;die Ausnahme;6;2013-01-03T22:50:33;5;3;
en ecoutant des chansons de rap allemandes, on apprend a bien prononcé les mots;indem man deutsche Rapsongs hört, lernt man die Wörter richtig aussprechen;1;2013-01-09T00:21:08;0;1;
serviable;hilfsbereit;9;2013-01-08T00:28:46;1;33;
neutre;sächlich;8;2012-12-25T18:37:39;15;6;
baisse de température;der Temperaturfall;9;2013-01-03T22:50:28;5;29;
grand huit;die Achterbahn;8;2012-12-25T12:57:35;15;6;
l´inteligence;die Gescheitheit;4;2013-01-09T00:15:57;0;3;
rester;übrig sein;9;2013-01-03T22:55:30;5;29;
bobonne;schatzi;8;2012-12-25T18:30:28;15;6;
cependant, assurément;allerdings;8;2012-12-25T18:56:32;15;6;
embobiné;eingewickelt;6;2013-01-05T17:55:23;4;4;
un peu;bisschen;8;2012-12-25T16:20:46;15;6;
mettre les point sur les i;es klipp und klar sagen;6;2013-01-09T20:18:40;0;8;
paresseux;faul;6;2013-01-09T20:18:20;0;8;
la balle;die kugel;8;2012-12-25T18:56:21;15;6;
redoubler une classe;sitzen bleiben;5;2013-01-09T00:13:58;0;5;
rattraper;Einholen;7;2013-01-04T16:51:47;5;8;
Arrête de faire le con;Hör auf mit dem Scheiß;5;2013-01-09T00:18:50;0;5;
je voudrais te demander quelque chose;ich möchte dich etwas fragen;1;2013-01-09T00:28:56;0;1;
injuste;ungerecht;6;2013-01-01T20:31:36;7;1;
beherrschbar;maitrisable;8;2013-01-09T00:21:30;0;21;
C'est vraiment domage pour lui;Es ist wirklich schade um ihn;3;2013-01-08T17:44:54;1;1;
il m'a invité à l'accompagner;er hat mich dazu aufgefordert, ihn zu begleiten;1;2013-01-09T00:32:00;0;1;
une bequille, un soutient;die Stütze;8;2012-12-25T19:01:04;15;6;
etwas anstreben;aspirer a quelque chose;3;2013-01-09T00:19:22;0;2;
cassé;zerbrochen;3;2013-01-09T00:19:11;0;2;
