Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
certes;zwar;8;2012-12-25T13:08:28;13;8;
se marier;heiraten;7;2012-12-31T15:11:37;7;6;
rien ne se passe;tote hose;7;2013-01-01T20:39:48;6;7;
ça m'arrange (arrangement temporel);das kommt mir gelegen;0;2013-01-08T00:34:36.483650;0;0;
Qu'est ce qui t'as donc incité à changer de métier?;Was hat dich denn dazu veranlaßt deinen Beruf zu wechseln?;0;2013-01-08T00:35:30.788479;0;0;
se moquer de qn;jemanden auslachen;4;2013-01-05T17:08:29;2;1;
l´affluence;der Andrang;7;2013-01-04T16:10:13;3;10;
dupliquer;doppeln;8;2012-12-26T11:18:41;12;9;
la fete d´anniversaire;die Geburstagsfeier;8;2012-12-17T15:10:20;21;0;
un escargot;die Schnecke;2;2013-01-06T18:23:10;1;0;
le virement;die Überweisung;4;2013-01-05T17:09:13;2;1;
l'annonce, la nouvelle;die meldung;4;2013-01-05T17:09:07;2;1;
etre embarassé par quelqu'un;für jemanden unangenehm sein;6;2013-01-02T18:19:12;5;3;
etroit;schmal;8;2012-12-25T13:10:28;13;8;
sale;dreckig;3;2013-01-05T17:10:54;2;0;
l'averse;der Regenschauer;4;2013-01-05T17:19:47;2;1;
l'intention;die Absicht;6;2013-01-06T21:58:51;1;7;
la balance commerciale est négative;Die Handelsbilanz ist negativ;3;2013-01-05T17:08:23;2;0;
la température;die Temperatur;7;2012-12-31T15:18:04;7;6;
la consigne;der Einsatz;8;2013-01-04T16:10:38;3;18;
un volume, un tome;der Band;8;2012-12-22T12:22:04;16;5;
par exemple;zum Beispiel;8;2012-12-19T00:04:23;20;2;
l'adieux;der Abschied;8;2012-12-25T13:20:59;13;8;
l'effet de serre;der Treibhauseffekt;5;2013-01-05T18:02:05;2;3;
la vie quotidienne;der Alltag;2;2013-01-08T00:34:27.947250;0;1;
l´affichage;die Anzeige;2;2013-01-06T18:35:17;1;0;
Il faut se tenir à quelques mètres de distance de cet appareil;Man muss sich einige Meter entfernt von diesem Apparat halten;6;2013-01-01T20:45:26;6;2;
une plante en pot;die Topfplanze;3;2013-01-08T00:36:02.907331;0;2;
pueril;kindisch;7;2012-12-27T13:12:57;11;2;
le climat;das Klima;9;2013-01-03T00:21:06;5;30;
delicat;zierlich;7;2012-12-31T15:18:12;7;6;
autorisé;erlaubt;9;2013-01-03T00:20:36;5;30;
la provision;die Deckung;8;2013-01-05T17:21:18;2;19;
Il a tendance a oublier ses erreurs;Er neigt dazu, seine Fehler zu vergessen;0;2013-01-08T00:36:19.636237;0;0;
la majorité;die mehrheit;8;2013-01-04T16:21:42;3;18;
faire le marche à pied;wandern;5;2013-01-03T22:40:40;4;1;
le mur;die Wand;7;2012-12-31T15:17:30;7;6;
il me rendit attentif a ce probleme;er machte mich auf dieses problem aufmerksam;1;2013-01-06T18:28:47;1;0;
Ne fais pas de connerie;Mach keinen Mist;8;2012-12-25T13:18:02;13;8;
le canon;der kanon;8;2012-12-25T13:06:41;13;8;
la liberté d'expression;die freie meinungsbildung;0;2013-01-08T00:37:16.267847;0;0;
Elle m'a prêté sa voiture mais elle a oublié de me donner les clés;Sie hat mir ihr Auto ausgeliehen, wobei sie vergessen hat, mir den Schlüssel zu geben;3;2013-01-05T17:17:29;2;0;
de façon claire et nette;klar und deutlich;4;2013-01-06T18:18:47;1;2;
enceinte;schwanger;7;2012-12-31T15:16:01;7;6;
Le tableaux le plus ancien et le plus interessant de Dürer est à voir à Nuremberg;Das älteste und interessanteste Gemäld von Dürer ist in Nürenberg zu sehen;7;2013-01-04T16:20:39;3;10;
quelles que soient les circonstances;unter allen Umständen;2;2013-01-06T18:19:45;1;0;
la gymnastique;das Turnen;7;2013-01-04T16:21:37;3;10;
Le jeune député fut nommé Ministre;Der junge Abgeordnete wurde zum Minister ernannt;1;2013-01-06T17:45:50;1;0;
la voile;das Segel;7;2013-01-01T20:14:54;6;7;
accroitre;steigern;6;2013-01-06T21:57:33;1;7;
toucher;anfassen;6;2013-01-02T17:00:28;5;3;
le réchauffement climatique;die Erwärmung;7;2012-12-27T15:21:11;11;2;
la performance, le rendement;die Leistung;8;2012-12-19T00:10:26;20;2;
ici nous sommes a l'abri des voleurs;hier sind wir vor dieben sicher;4;2013-01-05T17:21:40;2;1;
article XV de la constitution;Paragraph XV der Verfassung;7;2013-01-04T16:21:17;3;10;
s'associé à quelque chose;mit etwas gepaart sein;6;2012-12-31T15:23:16;7;1;
c'est mieux;das ist besser;8;2013-01-04T16:21:28;3;18;
le Gemissement;das Gestöhne;8;2012-12-19T00:10:11;20;2;
etre en suspens;anstehen;7;2013-01-01T20:45:00;6;7;
pourquoi es tu faché contre moi?;warum bist du böse auf mich?;4;2013-01-05T17:21:28;2;1;
la terminaison;die Endung;8;2013-01-04T16:15:54;3;18;
la conversation;die Unterhaltung;7;2013-01-04T16:21:24;3;10;
elle ne sait pas comment se debarrasser de lui;sie weiß nicht, wie Sie ihn loswerden soll;5;2013-01-03T22:41:59;4;1;
persister dans son opinion;unbeirrt an seiner Meinung festhalten;2;2013-01-06T18:22:56;1;0;
l'haleine, le soufle;der Hauch;8;2013-01-04T16:21:46;3;18;
recevoir, obtenir;bekommen;8;2012-12-17T15:10:01;21;0;
la production;die Herstellung;8;2013-01-05T17:18:51;2;19;
l'application Windows;die Windows-Anwendung;4;2013-01-05T17:21:49;2;1;
ta gueule;halt die Klappe;8;2012-12-17T15:11:12;21;0;
une montagne;das Gebirge;3;2013-01-06T18:19:50;1;1;
la recrue;der Neuzugang;5;2013-01-03T22:43:48;4;1;
cité, invoqué;angeführt;5;2013-01-06T22:56:59;1;4;
le fait d etre amoureux;die Verliebtheit;7;2012-12-31T15:22:43;7;6;
établir;aufstellen;7;2012-12-31T15:22:57;7;6;
grandiloquant;hochtrabend;8;2012-12-25T13:21:20;13;8;
ce n'est pas la mer à boire (etre pas grave);das ist gar nicht so schlimm;3;2013-01-05T17:17:57;2;0;
aller à toute allure;Rasen;4;2013-01-05T17:23:12;2;1;
il est pret a tout;er ist zu allem bereit;4;2013-01-05T17:22:08;2;1;
Je passerai vous prendre vers huit heures;Ich komme gegen 8 Uhr vorbei, um Sie abzuholen;5;2013-01-03T22:38:48;4;1;
le chaufage;Die Beheizung;6;2013-01-01T20:53:49;6;2;
la determination;die Zielstrebigkeit;5;2013-01-05T17:58:40;2;3;
le son;der Schall;6;2013-01-01T20:37:22;6;2;
valoir le coup;sich lohnen;8;2012-12-25T13:21:42;13;8;
en resumé;insgesamt;8;2012-12-25T13:27:17;13;8;
bete, idiot;blödsinnig;7;2012-12-25T13:31:30;13;0;
faire un reportage sur;berichten über;4;2013-01-05T17:23:21;2;1;
ne pas avoir froid aux yeux;frech sein;4;2013-01-05T17:24:02;2;1;
enchanter, impressioner;begeistern;7;2012-12-31T15:23:05;7;6;
Il les embrasse;Er umarmt sie;1;2013-01-06T22:31:42;1;0;
De plus en plus de sociétés privilégient les demandes d'emploi par Internet;Immer mehr Firmen ziehen Online-Bewerbungen vor;6;2013-01-05T17:22:41;2;6;
sauter une classe;übersprungen;8;2012-12-26T11:19:15;12;9;
observer;beobachten;8;2012-12-25T13:31:37;13;8;
la propriété;das Anwesen;2;2013-01-06T18:21:09;1;0;
Il fait partie de nos amis;Er gehört zu unseren Freunden;1;2013-01-06T17:35:29;1;0;
je n'y arrive pas;Ich komme nicht dazu;7;2013-01-04T16:29:08;3;10;
sec;trocken;8;2012-12-17T15:13:15;21;0;
Nous avons regarder la telé hier soir;Wir haben gestern abend ferngesehen;7;2012-12-31T15:26:13;7;6;
On lui a pris tous ses bijoux;Man hat ihr ihren ganzen Schmuck weggenommen;1;2013-01-06T22:53:55;1;0;
Un stylo sert à ecrire;Ein Füller dient zum Schreiben;1;2013-01-06T17:39:41;1;0;
le besoin;der Bedarf;8;2012-12-25T13:27:40;13;8;
conscient;bewußt;3;2013-01-06T18:23:14;1;1;
influence, emprise;Einfluss;8;2012-12-19T00:06:03;20;2;
arnaquer;abzocken;8;2013-01-03T22:35:13;4;17;
la retraite;der ruhestand;8;2013-01-05T17:22:15;2;19;
glühend;ardemment;8;2012-12-31T15:38:44;7;14;
probable;vermutlich;7;2012-12-31T15:26:17;7;6;
Roman court aussi vie que son frere;Roman läuft so schnell wie sein Brüder;8;2013-01-04T16:24:55;3;18;
l'intelligent;der Kluge;7;2012-12-25T13:31:54;13;0;
remettre, rendre (vomir);übergeben;7;2013-01-04T16:29:46;3;10;
le crochet;der Hacken;6;2013-01-02T18:20:28;5;3;
singulier, marrant;eigenartig;5;2013-01-03T22:43:29;4;1;
pleurer;weinen;8;2013-01-05T17:21:58;2;19;
On y vas;Los;7;2012-12-27T15:23:02;11;2;
Je connais Tübingen comme ma poche: j'y ai habité tois ans;Ich kenne mich in Tübingen aus: ich habe dort drei Jahre gewohnt;6;2012-12-31T15:07:20;7;1;
il lit le journal de A a Z;er liest die zeitung ausführlich;6;2012-12-31T15:35:10;7;1;
la pluie;der Regen;9;2013-01-03T00:21:14;5;30;
le milieu de terrain;der Mittelfeldspieler;7;2012-12-27T15:25:50;11;2;
Je suis contre l'energie nucleaire pour different raison;ich bin aus verschiedenen Gründen gegen Atomenergie;4;2013-01-05T17:23:55;2;1;
responsabiliser quelqu'un;jemandem seine Verantwortung bewußt machen;4;2013-01-05T17:24:24;2;1;
la position, l´emplacement, le site;der Standort;8;2012-12-19T00:11:50;20;2;
rendre visite a quelqu'un;bei jemandem vorbeischauen;6;2013-01-05T17:25:06;2;6;
der Beschluss;la decision;5;2013-01-03T22:41:07;4;1;
le butin;die beute;3;2013-01-06T18:20:24;1;1;
j'aimerais bien participer à cette fete;ich möchte gern an dieser party teilnehmen;4;2013-01-06T18:22:46;1;2;
inutile;nutzlos;8;2012-12-19T00:11:57;20;2;
ponctuelle;pünktlich;8;2012-12-19T00:12:51;20;2;
la zone d'extraction;das fördergebiet;4;2013-01-05T17:21:55;2;1;
le retard;die Verspätung;8;2013-01-04T16:24:41;3;18;
le lolo;der Busen;5;2013-01-03T22:40:34;4;1;
la colere;die Wut;6;2013-01-05T17:25:25;2;6;
on le reconnait bien à sa voix;man erkennt ihn gut an der Stimme;1;2013-01-06T18:26:10;1;0;
une critique partielle;die Einzelkritik;5;2013-01-05T17:59:07;2;3;
l´inverse;das Gegenteil;8;2012-12-31T15:41:53;7;14;
se rendre compte, remarquer, retenir;merken;8;2012-12-31T15:42:49;7;14;
en principe, fondamentalement;Grundsätzlich;5;2013-01-06T22:57:19;1;4;
gelé;eingefroren;8;2012-12-31T15:40:00;7;14;
le stylo;der Füller;7;2012-12-25T13:36:08;13;0;
Il était temps que chacun aille se coucher;Es war Zeit, dass jeder zu Bett ging;4;2013-01-05T17:31:43;2;1;
fondé;gegründet;7;2012-12-31T15:39:53;7;6;
l'apparence;das Aussehen;7;2013-01-01T21:00:28;6;7;
il a toujours été trés gentil avec moi;er war immer sehr nett zu mir;2;2013-01-06T18:21:17;1;0;
regulierement;regelmäßig;8;2012-12-22T12:47:20;16;5;
J'ai collé le timbre sur l'enveloppe;Ich klebte die Briefmarke auf den Umschlag;1;2013-01-06T18:26:48;1;0;
des broches;die Broschen;8;2012-12-25T13:36:04;13;8;
les membres (club);die Mitglieder;8;2012-12-25T13:36:22;13;8;
Je n'y peux rien;Ich kann nicht dafür;6;2013-01-05T17:32:16;2;6;
les energies renouvelables;die erneuerbaren Energien;3;2013-01-06T18:19:58;1;1;
l´affaire, la chose, l´enjeu;die Sache;7;2012-12-31T15:40:04;7;6;
Il doit faire un effort plus important;Er muss sich mehr anstrengen;4;2013-01-05T17:25:40;2;1;
timide, farouche;schüchtern;8;2012-12-25T17:55:26;13;8;
le comportement;das Verhalten;8;2012-12-22T12:49:43;16;5;
l´inteligence;die Gescheitheit;3;2013-01-06T18:31:23;1;1;
grand huit;die Achterbahn;8;2012-12-25T12:57:35;13;8;
le feed-back;die rückmeldung;8;2013-01-04T16:36:09;3;18;
la sottise, la bettise;der Quatsch;8;2012-12-17T15:14:19;21;0;
le domaine, la region;das Gebiet;7;2013-01-04T16:25:07;3;10;
la lingerie;die Unterwäsche;4;2013-01-05T17:28:20;2;1;
l'entreprise;das Unternehmen;8;2012-12-25T13:35:08;13;8;
la musculation;das Krafttraining;7;2012-12-25T17:35:40;13;0;
On ne devrait pas s'en remettre au hasard;Man sollte die Dinge nicht dem Zufall überlassen;3;2013-01-06T18:22:16;1;1;
Vous voyez la bas la plus jeune de nos deux filles;Dort sehen Sie die jüngere unserer beiden Töchter;7;2013-01-04T16:28:52;3;10;
il apprend a lire aux enfants;er lehrt die kinder lesen;3;2013-01-05T17:27:36;2;0;
faire des messes basse;tuscheln;5;2013-01-03T22:50:51;4;1;
commuter;umschalten;8;2012-12-25T17:35:51;13;8;
ne te moque pas de moi;lach mich nicht aus;4;2013-01-05T17:28:04;2;1;
se reposer (récupérer ses forces);sich ausruhen;8;2012-12-25T17:35:47;13;8;
restant;verbleibend;5;2013-01-05T17:59:50;2;3;
se promener;spazierengehen;6;2012-12-31T15:40:28;7;1;
auf etwas verzichten;abandonner quelque chose;7;2013-01-04T16:24:19;3;10;
regretter;bedauern;1;2013-01-06T22:50:59;1;0;
le permis de conduire;der Führerschein;5;2013-01-05T18:02:49;2;3;
superieur;überragend;3;2013-01-05T17:28:14;2;0;
dissimulateur;heuchlerisch;7;2013-01-04T16:25:34;3;10;
efficace;effizient;8;2012-12-31T15:48:54;7;14;
etre de bonne foi;aufrichtig sein;8;2012-12-19T00:24:22;20;2;
resoudre;auflösen;8;2012-12-26T11:18:38;12;9;
la taille, la grandeur;die größe;5;2013-01-06T22:58:15;1;4;
la cotisation;der Beitrag;7;2012-12-31T15:44:48;7;6;
cesser, achever;aufhören;7;2012-12-25T17:35:12;13;0;
le moyen de transport;das Verkehrsmittel;5;2013-01-03T22:31:12;4;1;
il est rouge de honte;er ist rot vor Scham;3;2013-01-05T17:30:45;2;0;
J'avais des relations tendues avec lui;Ich stand in gespanntem Verhältnis zu ihm;5;2013-01-03T22:45:25;4;1;
favorable a l'environement;Umweltfreundlich;8;2013-01-04T16:28:11;3;18;
la demoiselle;das Fräulein;8;2012-12-19T00:17:23;20;2;
papoter;schwätzen;7;2012-12-31T15:44:30;7;6;
un agent d'affaires, un médiateur;der Vermittler;3;2013-01-06T18:21:23;1;1;
mercredi;mittwoch;3;2013-01-05T17:32:09;2;0;
en raison des circonstances;unter Umstände;8;2012-12-25T11:40:46;13;8;
L'homme était en mauvaise forme;Der Mann war in schlechter Verfassung;4;2013-01-05T17:27:48;2;1;
se confier;sich anvertrauen;8;2012-12-25T17:58:28;13;8;
éclairer;leuchten;4;2013-01-06T18:21:27;1;2;
une blouse;die Bluse;9;2013-01-03T00:20:57;5;30;
le bistro;die Kneipe;7;2013-01-01T20:59:19;6;7;
examiner;prüfen;6;2013-01-01T20:57:47;6;2;
il m'a adressé la parole dans la rue;er hat mich auf der Straße angeredet;5;2013-01-03T22:34:39;4;1;
On est parvenu à un accord sur les règles de concurrence sur le marché allemand de l'énergie;Man hat eine Einigung über Wettbewerbsregeln für den deutschen Energiemarkt erzielt;2;2013-01-06T18:29:51;1;0;
Ma mémoire n'a pas failli.;Mein Gedächtnis hat mich nicht im Stich gelassen;5;2013-01-03T22:45:40;4;1;
tendre, contracter;spannen;8;2012-12-19T00:17:44;20;2;
le manque de provision;die fehlende Deckung;5;2013-01-06T22:57:46;1;4;
faux cu;hinterhältig;1;2013-01-06T18:31:34;1;0;
le remplacement;das Auswechseln;5;2013-01-06T22:57:10;1;4;
triple;dreifach;8;2012-12-27T15:36:54;11;10;
Elle descend l'escalier en courant;Sie läuft die treppe hinab;6;2013-01-03T00:00:25;5;4;
trop facile  (familier);pupen einfach;8;2013-01-05T17:59:35;2;19;
homosexuelle, gay;schwul;4;2013-01-06T18:25:19;1;2;
par coeur;auswendig;8;2013-01-04T16:28:04;3;18;
l´ accident;der Unfall;4;2013-01-05T17:28:10;2;1;
sowie;ainsi que;2;2013-01-06T18:25:16;1;0;
dépendant;abhängig;7;2013-01-04T16:27:57;3;10;
des trois hommes c'est manfred qui cuisine le mieux;Von diesen drei Männern kocht Manfred am besten;7;2012-12-25T17:59:24;13;0;
le certificat;das zeugnis;5;2013-01-03T22:50:37;4;1;
court-circuiter;überbrücken;8;2013-01-04T16:31:45;3;18;
le motif;der Anlass;6;2013-01-02T23:58:03;5;4;
le pouce;der Daumen;6;2013-01-01T21:09:10;6;2;
congedier, debaucher;entlassen;7;2012-12-27T15:50:14;11;2;
Je voudrais d'abord préciser un point : L'Allemagne ne recherche pas de position hégémonique en Europe;Ich möchte zunächst klar machen, dass Deutschland keine Vormachtstellung in Europa anstrebt;4;2013-01-05T17:42:03;2;1;
photographier quelqu'un;jemanden ablichten;4;2013-01-05T17:39:32;2;1;
Les dés sont jetés;Das Würfel sind gefallen;7;2012-12-31T15:54:04;7;6;
faire signe a qq;sich winken herbei;8;2012-12-25T18:04:08;13;8;
amener qn;mitbringen;6;2013-01-05T17:40:13;2;6;
rimer;sich reimen;7;2013-01-04T16:52:16;3;10;
tu ne peux pas manger un si gros morceau de viande;Du kannst ein so großes Stück Fleisch doch nicht essen;1;2013-01-06T18:31:01;1;0;
apres de longue années, il est mort de cette maladie;nach langen jahren ist er an dieser krankheit gestorben;3;2013-01-05T17:40:00;2;0;
les enfants, la releve;der Nachwuchs;7;2013-01-04T16:51:54;3;10;
la brume;der Nebel;9;2013-01-03T00:21:11;5;30;
le petit-fils;das Enkelkind;6;2013-01-02T23:58:34;5;4;
le salaud;der Dreckskerl;8;2012-12-25T18:11:47;13;8;
appreciable;beachtlich;5;2013-01-05T17:59:16;2;3;
Une fois qu'il était parti, j'ai découvert qu'il avait oublié ses clés;Als er weg war, habe ich bemerkt, dass er seine Schlüssel vergessen hatte;1;2013-01-06T18:32:40;1;0;
la responsabilité;die Verantwortung;8;2013-01-04T16:33:45;3;18;
la repulsion;die abneigung;8;2013-01-04T16:32:52;3;18;
chez soi;daheim;8;2012-12-25T18:09:26;13;8;
à coté;neben;8;2012-12-19T00:32:17;20;2;
dépasser;überholen;8;2012-12-25T18:11:55;13;8;
ne pas prendre quelqu'un au sérieux;jemanden nicht für voll nehmen;8;2012-12-19T00:31:05;20;2;
le reproche;der Vorwurf;2;2013-01-06T18:25:09;1;0;
Rechercher et Developpement;Forschung und Entwicklung;8;2012-12-19T00:27:56;20;2;
le changement de place;die Versetzung;4;2013-01-05T17:40:58;2;1;
Ce jeune chercheur est surement destiné à une brillante carrière;dieser junge forscher ist sicher zu einer glänzenden Laufbahn bestimmt;1;2013-01-06T17:57:10;1;0;
le dessert;der Nachtisch;5;2013-01-05T17:58:56;2;3;
le coloriage;das Ausmalen;6;2013-01-05T17:40:48;2;6;
effrayant;gruselig;3;2013-01-06T18:25:23;1;1;
il nous a gaché l'ambiance;Er hat uns die Stimmung verdorben;3;2013-01-06T18:23:47;1;1;
Definitely;Durchaus;8;2013-01-04T16:36:28;3;18;
Je suis inquiet pour sa santé;Ich bin um seine Gesundheit besorgt;2;2013-01-06T18:24:00;1;0;
le papillon;der Schmetterling;6;2013-01-01T21:08:30;6;2;
l'auteur, le createur;der Schöpfer;4;2013-01-06T18:27:50;1;2;
le choix;die Auswahl;8;2012-12-25T18:26:05;13;8;
mordiller;an etwas knabbern;4;2013-01-05T17:41:12;2;1;
se faire bichonner;sich verwöhnen lassen;4;2013-01-05T17:41:20;2;1;
personne ne;keiner;8;2012-12-19T00:31:44;20;2;
Je n'y comprends rien;Das ist mir ein Rätsel;6;2013-01-05T17:39:24;2;6;
le trou, l'espace;die lücke;7;2012-12-25T18:26:27;13;0;
l'érosion;die Erosion;8;2013-01-04T16:32:56;3;18;
la vitesse;die Geschwindigkeit;5;2013-01-05T18:07:29;2;3;
comme indique;wie gezeigt;8;2012-12-25T17:30:34;13;8;
le dechet,l'ordure;der Abfall;3;2013-01-06T18:24:04;1;1;
parier;verwetten;3;2013-01-05T17:42:06;2;0;
humide;feucht;9;2013-01-03T00:20:52;5;30;
l'été;der Sommer;9;2013-01-03T00:20:40;5;30;
cesser de faire quelque chose;mit etwas einhalten;5;2013-01-03T22:45:54;4;1;
se foutre de la gueule de qn (fam);jemanden verarschen;6;2012-12-31T16:02:04;7;1;
Ce magazine est plus interessant que celui la;diese Illustrierte ist interessanter als jene;7;2013-01-04T16:53:04;3;10;
assrvir, conduire;steuern;8;2012-12-25T18:24:25;13;8;
Il n'est vraiment pas apte a ce travail;Er taugt wirklich nicht zu dieser Arbeit;1;2013-01-06T17:53:27;1;0;
un entairement;die Beerdigung;9;2013-01-03T00:20:49;5;30;
le departement, la division;die Abteilung;8;2013-01-04T16:32:23;3;18;
l'impot;die Steuer;7;2012-12-25T17:26:08;13;0;
la bougie;die kerze;1;2013-01-06T22:44:20;1;0;
Nous avons beaucoup contribué à ce succès;Wir haben erheblich zu diesem Erfolg beigetragen;1;2013-01-06T17:56:24;1;0;
Nous devons fixer une date;Wir müssen einen Termin vereinbaren;1;2013-01-06T22:32:54;1;0;
menteur;verlogen;5;2013-01-05T18:06:50;2;3;
comprehensible;begreiflich;8;2012-12-25T18:19:59;13;8;
la presentation;die Vorlage;2;2013-01-06T18:27:45;1;0;
baisser le volume;die Lautstärke leiser stellen;6;2013-01-05T17:48:28;2;6;
regarder;blicken;4;2013-01-05T17:45:57;2;1;
cela te coutera beaucoup d'argent;das wird dich viel Geld kosten;4;2013-01-05T17:51:09;2;1;
faire la grasse matinée;ausschlafen;8;2012-12-25T18:26:48;13;8;
se charger de;übernehmen;7;2013-01-04T16:54:05;3;10;
l'excursion, la balade;der Ausflug;8;2012-12-25T18:27:18;13;8;
tuerie en milieu scolaire;der Amoklauf an einer Schule;5;2013-01-03T22:53:12;4;1;
il est habitué a cette vie;er ist an dieses leben gewöhnt;1;2013-01-06T18:30:40;1;0;
Comment juger vous le potentiel de l'Australie, comme adversaire?;Wie stark schätzen Sie Australien ein, als Gegner?;8;2012-12-31T15:58:32;7;14;
lévier de cuisine;die Küchenspüle;7;2013-01-04T16:53:33;3;10;
Ils ont acheté une villa moins chére, que celle qu'ils avaient visitée;Sie haben eine weniger teure Villa gekauft als die, die sie besichtigt hatten;2;2013-01-06T18:26:00;1;0;
la tete de turc;der Buhmann;6;2012-12-31T15:58:39;7;1;
je peux encore avoir besoin de ce livre;dieses buch kann ich noch brauchen;6;2013-01-05T17:47:18;2;6;
ton succès me fait trés plaisir;ich freue mich sehr an deinem erfolg;1;2013-01-06T18:34:07;1;0;
la confiance;das Vertrauen;5;2013-01-03T22:51:02;4;1;
les nuages;die Wolken;8;2012-12-19T00:26:05;20;2;
Ich kann es mir nicht leisten;Je ne peux pas me le permettre;8;2013-01-04T16:33:06;3;18;
un additif;der Nachtrag;8;2012-12-19T00:28:41;20;2;
erschöpfen;epuiser;4;2013-01-05T17:50:27;2;1;
Ça me donne la gerbe;Da bekomme ich das Kotzen;3;2013-01-05T17:46:59;2;0;
etre responsable de quelque chose;für etwas verantwortlich sein;5;2013-01-03T22:48:51;4;1;
de nous tous c'est Andrea qui court le plus vite;von uns allen läuft Andrea am schnellsten;5;2013-01-06T22:58:01;1;4;
peter un cable, disjoncter;ausrasten;5;2013-01-03T22:50:42;4;1;
le truc, le machin;das Ding;8;2013-01-04T16:39:03;3;18;
C'est l'espagne que l'on visite le plus l'ete;Spanien wird im Sommer am meisten besichtigt;4;2013-01-05T17:46:49;2;1;
il souffre depuis des années de rhumatismes;er leidet schon seit jahren an rheuma;3;2013-01-05T17:45:53;2;0;
à cause de moi;Meinetwegen;8;2012-12-31T16:07:18;7;14;
bobonne;schatzi;8;2012-12-25T18:30:28;13;8;
decourager quelqu'un;jemanden entmutigen;4;2013-01-06T18:31:42;1;2;
sur le vif;hautnah;3;2013-01-06T18:29:54;1;1;
les courants océaniques;die Meeresströmungen;8;2012-12-21T20:08:52;17;4;
insolite, abracadabrant, inhabituel;ungewöhnlich;1;2013-01-06T18:35:09;1;0;
Le monde ne souffre pas d'un manque d'eau, mais pratique une très mauvaise gestion de l'eau;Die Welt leidet nicht unter Wassermangel, sondern betreibt ein sehr schlechtes Wassermanagement;4;2013-01-05T17:50:23;2;1;
le bruit (sonore);das Geräusch;3;2013-01-06T18:29:59;1;1;
se detendre;sich entspannen;8;2013-01-04T16:35:59;3;18;
J'en admire surtout les vitraux (d'une cathedrale);Ich bewundere vor allem ihre Fenster;1;2013-01-06T22:50:04;1;0;
la consomation;der Verbrauch;5;2013-01-05T18:03:18;2;3;
vachement;unheimlich;7;2013-01-04T16:52:12;3;10;
capricieux;launenhaft;3;2013-01-06T18:30:45;1;1;
les arriére petits enfants;die Urenkel;6;2013-01-03T00:02:51;5;4;
l'adolescent;der Jüngling;5;2013-01-03T22:50:56;4;1;
Qui marque le but?;Wer macht die Tore?;3;2013-01-06T18:31:29;1;1;
avoir la main sur le coeur;sehr großzügig sein;2;2013-01-06T18:31:50;1;0;
artificielle;gekünstelt;5;2013-01-05T18:06:33;2;3;
y'es tu habitué?;Bist du daran gewöhnt?;4;2013-01-05T17:47:31;2;1;
le motif de paiement;der Verwendungszweck;3;2013-01-05T17:48:35;2;0;
la conservation;die Aufbewahrung;6;2012-12-31T16:08:52;7;1;
Qui conclut l'accord ?;Wer traf die Vereinbarung?;3;2013-01-05T17:52:35;2;0;
la ceremonie, la fete;die Veranstaltung;3;2013-01-06T18:31:18;1;1;
etre attaché a quelaue chose;mit etwas zusammenhängen;4;2013-01-06T18:30:09;1;2;
le verglas;das Glatteis;3;2013-01-06T18:33:06;1;1;
la commande, la mission;der Auftrag;8;2012-12-25T18:38:57;13;8;
le Latin;der Romane;8;2012-12-24T13:08:12;14;7;
entreprendre;unternehmen;8;2012-12-19T00:00:15;20;2;
la contradiction;der Widerspruch;5;2013-01-05T18:07:37;2;3;
Il vient de sortir;Er ist gerade weggegangen;5;2013-01-05T18:07:13;2;3;
la note de débit;die lastschrift;3;2013-01-06T18:33:10;1;1;
die Entscheidung;la decision;8;2013-01-05T18:15:11;2;19;
l'exception;die Ausnahme;6;2013-01-03T22:50:33;4;4;
en ecoutant des chansons de rap allemandes, on apprend a bien prononcé les mots;indem man deutsche Rapsongs hört, lernt man die Wörter richtig aussprechen;3;2013-01-06T18:33:02;1;1;
le dossier;das Verzeichnis;2;2013-01-06T18:34:35;1;0;
neutre;sächlich;8;2012-12-25T18:37:39;13;8;
baisse de température;der Temperaturfall;9;2013-01-03T22:50:28;4;30;
suposer;vermuten;8;2013-01-04T15:57:14;3;18;
rester;übrig sein;9;2013-01-03T22:55:30;4;30;
le clou;der Nagel;8;2013-01-04T16:36:03;3;18;
cependant, assurément;allerdings;8;2012-12-25T18:56:32;13;8;
embobiné;eingewickelt;6;2013-01-05T17:55:23;2;6;
un peu;bisschen;8;2012-12-25T16:20:46;13;8;
mettre les point sur les i;es klipp und klar sagen;5;2013-01-03T22:53:43;4;1;
paresseux;faul;5;2013-01-03T22:56:11;4;1;
la balle;die kugel;8;2012-12-25T18:56:21;13;8;
redoubler une classe;sitzen bleiben;4;2013-01-05T17:53:25;2;1;
rattraper;Einholen;7;2013-01-04T16:51:47;3;10;
Arrête de faire le con;Hör auf mit dem Scheiß;4;2013-01-05T17:52:43;2;1;
je voudrais te demander quelque chose;ich möchte dich etwas fragen;1;2013-01-06T18:35:00;1;0;
injuste;ungerecht;6;2013-01-01T20:31:36;6;2;
beherrschbar;maitrisable;7;2012-12-25T19:03:29;13;0;
C'est vraiment domage pour lui;Es ist wirklich schade um ihn;2;2013-01-06T18:31:12;1;0;
il m'a invité à l'accompagner;er hat mich dazu aufgefordert, ihn zu begleiten;1;2013-01-06T17:34:05;1;0;
